tracker_id,class_id,x_min,y_min,x_max,y_max
0,0,46.831985,141.32962,60.844727,155.9454
1,0,473.5619,244.63113,492.28064,264.3896
2,0,104.43886,156.92337,121.55151,173.98483
3,0,607.3828,332.19257,626.1201,350.88635
4,0,627.8854,236.90276,640.0,251.35133
5,0,93.687164,64.48096,108.83325,79.859985
6,0,290.41486,42.065666,307.19757,58.22988
7,0,344.46423,80.51264,363.85376,99.40472
8,0,204.95116,165.54707,219.55605,179.79103
9,0,5.5884056,172.5849,25.604084,191.15723
10,0,598.72253,438.2249,624.2792,463.1413
11,0,509.30334,458.0089,531.5453,479.71887
12,1,45.095108,41.391617,107.58203,86.38815
13,0,45.403404,139.83936,61.89541,157.88916
14,1,245.47493,432.2309,313.9759,480.0
15,0,307.04517,211.4751,327.86145,231.40347
16,0,306.59235,470.33215,324.41412,480.0
0,0,47.07981,141.53824,60.82441,155.6847
1,0,473.6681,244.71558,492.42126,264.35394
7,0,344.7249,80.4922,364.4566,99.5428
3,0,608.16345,332.12158,626.1571,350.5348
2,0,104.24658,156.87277,121.67828,174.19919
4,0,629.9091,237.09512,640.0,250.80832
5,0,94.05217,64.64166,109.1214,79.59418
11,0,509.54385,458.2159,530.6144,479.55594
8,0,204.71812,164.92102,219.5095,179.80106
6,0,292.4329,42.942574,308.43417,58.57419
10,0,598.78815,437.91858,624.24774,463.0271
9,0,5.182789,171.95926,26.495914,191.68155
13,0,45.343437,140.20169,61.73133,157.70316
12,1,44.412376,41.587204,107.240105,86.247375
16,0,306.53827,470.35422,324.3672,480.0
14,1,245.39755,431.92688,306.7949,479.96643
15,0,306.5735,211.63887,329.88544,232.43779
0,0,46.988266,141.31937,60.85736,155.88953
5,0,94.13742,64.63768,109.90787,79.642715
3,0,607.35223,332.42825,625.94476,350.8804
8,0,204.93399,165.14487,219.55759,179.77887
1,0,472.7395,244.37741,492.7201,264.8264
2,0,103.929596,156.60995,121.625336,174.444
4,0,629.8341,236.28183,640.0,249.92508
7,0,344.69324,80.567764,363.70422,99.66965
11,0,509.43994,458.3955,531.1542,479.84363
10,0,599.04803,438.0909,624.2542,462.89713
13,0,45.381203,139.89368,61.65551,157.68964
6,0,294.3858,43.167633,311.82037,60.833366
9,0,4.333967,171.45963,25.874044,191.92087
12,1,38.78135,40.398045,105.36622,93.29028
17,1,295.03607,385.91306,365.66632,451.5247
16,0,306.3797,470.32022,324.47925,480.0
18,1,24.982727,194.66449,100.752914,255.94327
14,1,240.1383,431.74683,313.82147,480.0
0,0,46.98636,141.5629,60.74138,155.95871
3,0,606.3409,332.20187,626.3842,351.11655
1,0,473.45776,244.48297,492.51562,264.25214
5,0,93.923706,64.07919,110.53926,79.59454
2,0,104.400154,157.4239,121.32685,173.92564
11,0,509.7284,458.1904,530.2158,479.32626
8,0,204.99255,163.83118,219.12695,178.2591
9,0,4.5104294,171.59628,26.113495,191.77942
7,0,344.17584,79.99802,363.9806,99.57704
10,0,600.03186,438.70474,624.0084,462.759
13,0,45.32728,140.22061,61.644875,157.92969
14,1,241.82349,431.73438,319.88348,479.9933
6,0,297.89258,43.82218,315.21436,61.43074
18,1,26.8567,196.15726,104.64154,259.55362
12,1,45.94039,41.346626,107.10293,84.64702
4,0,629.1839,235.44632,640.0,248.6437
16,0,305.76678,469.2453,324.67828,480.0
0,0,46.90146,141.34108,60.550674,155.70589
1,0,473.94638,244.57556,492.4456,264.3979
3,0,606.7706,332.14435,626.35974,351.19147
6,0,301.661,46.575264,317.38348,61.50199
2,0,104.880646,158.25827,120.76984,173.71646
5,0,94.33676,64.09855,109.94797,79.71079
9,0,5.3060436,172.07008,26.235052,191.54677
11,0,509.43237,457.8073,530.4927,479.33203
10,0,599.3448,438.2519,624.59186,462.81818
7,0,344.10687,79.989685,364.18134,99.55467
19,0,298.1764,45.255096,317.79456,62.50978
16,0,305.65985,469.635,325.21686,480.0
13,0,44.886436,140.09445,61.528748,157.9591
8,0,204.65039,160.9014,219.20966,177.99338
18,1,28.93602,197.01062,102.369156,255.8776
12,1,44.859375,41.08943,107.31705,86.48157
15,0,307.64203,211.18558,329.7923,232.91162
14,0,262.88715,436.0813,302.20758,474.2978
0,0,46.89048,141.97177,60.95961,156.12418
5,0,93.658035,65.32947,108.91255,80.13788
3,0,607.0945,332.1001,625.9983,350.9051
6,0,303.09204,47.314125,320.8604,62.60853
1,0,474.0105,244.47089,492.8263,264.45367
2,0,104.359436,158.11606,121.05557,174.4874
11,0,509.6422,458.11768,530.6345,479.47766
14,0,264.29938,433.76624,301.21198,465.172
7,0,343.97064,80.19844,364.02588,99.65929
10,0,600.2575,439.10306,623.65497,461.97787
4,0,632.07056,230.15063,640.0,242.75977
8,0,204.2966,162.12364,219.12607,177.92024
16,0,304.0359,469.76776,325.27124,480.0
9,0,4.385824,170.54526,26.333874,191.59503
20,0,593.0379,0.0,610.8038,8.268307
0,0,45.789993,141.80135,60.947777,157.3567
5,0,93.22821,65.25783,107.60449,81.13411
2,0,104.96181,157.76312,121.54314,174.4013
8,0,204.68036,163.68445,219.19806,178.90332
6,0,302.72037,47.020233,321.77084,62.537415
11,0,509.73798,457.80222,529.97455,478.96445
1,0,473.60986,244.40909,492.693,264.28085
3,0,606.26855,330.6322,627.2156,351.47742
4,0,632.20215,228.0499,640.0,239.6918
16,0,305.55566,469.59335,325.41858,480.0
10,0,599.8685,438.65353,623.4558,461.0474
14,0,265.1039,433.5962,301.78653,466.53015
20,0,592.9547,0.0,610.67236,8.381874
13,0,42.670464,140.62619,61.52836,159.74918
9,0,3.692833,170.11548,26.063255,191.59473
0,0,45.638664,141.25073,61.033714,157.78955
5,0,92.11806,65.04117,106.8512,80.974915
1,0,474.22977,244.4823,492.7914,264.2259
8,0,204.94772,164.11691,219.21707,178.83832
11,0,509.76202,458.71378,530.19904,479.50052
2,0,102.90538,156.35678,122.55202,175.43198
10,0,599.57446,438.02295,623.7261,461.58472
3,0,605.8447,330.35864,627.06934,351.99243
6,0,305.39355,46.97885,322.84912,61.69542
21,0,91.225975,63.172165,109.95933,82.84967
4,0,632.6079,228.02328,640.0,239.36172
7,0,344.02155,80.37172,363.38922,99.52504
16,0,305.96893,470.3945,324.716,480.0
22,1,242.58023,431.45404,309.9703,479.9748
